Frame,Time (Seconds),stick_right-rotationX,stick_right-rotationY,stick_right-rotationZ,stick_right-rotationW,stick_right-positionX,stick_right-positionY,stick_right-positionZ,stick_left-rotationX,stick_left-rotationY,stick_left-rotationZ,stick_left-rotationW,stick_left-positionX,stick_left-positionY,stick_left-positionZ
4092,34.100000,0.220991,-0.107013,-0.785264,-0.568394,0.169167,0.012684,0.892141,0.407518,0.709749,0.533610,0.213180,-0.536085,-0.127391,1.104165
4093,34.108333,0.218940,-0.109210,-0.785933,-0.567845,0.169919,0.014219,0.893535,0.415434,0.710450,0.526418,0.213449,-0.532154,-0.125190,1.103423
4094,34.116667,0.217115,-0.112683,-0.785721,-0.568160,0.171231,0.015622,0.894865,0.423260,0.710540,0.519660,0.214332,-0.528143,-0.122857,1.102754
4095,34.125000,0.215325,-0.116142,-0.785274,-0.568762,0.172966,0.016897,0.896067,0.430694,0.709947,0.513594,0.216099,-0.524064,-0.120450,1.102140
4096,34.133333,0.215127,-0.119338,-0.784415,-0.569361,0.175046,0.018020,0.897114,0.437234,0.710023,0.507214,0.217781,-0.519951,-0.117993,1.101612
4097,34.141667,0.216143,-0.121219,-0.783865,-0.569337,0.177342,0.018984,0.898033,0.443563,0.708860,0.502239,0.220284,-0.515743,-0.115421,1.101061
4098,34.150000,0.218659,-0.121757,-0.783845,-0.568288,0.179792,0.019762,0.898814,0.449455,0.707544,0.497384,0.223566,-0.511468,-0.112741,1.100459
4099,34.158333,0.222965,-0.120618,-0.784384,-0.566110,0.182308,0.020358,0.899491,0.455208,0.706115,0.492679,0.226838,-0.507165,-0.110014,1.099853
4100,34.166667,0.228081,-0.117430,-0.786046,-0.562424,0.184787,0.020771,0.900125,0.461167,0.704241,0.488339,0.229989,-0.502813,-0.107224,1.099209
4101,34.175000,0.233881,-0.112945,-0.788544,-0.557442,0.187155,0.021037,0.900765,0.466747,0.702416,0.484075,0.233306,-0.498415,-0.104349,1.098507
4102,34.183333,0.239477,-0.107797,-0.792246,-0.550797,0.189357,0.021130,0.901467,0.472148,0.701074,0.479518,0.235870,-0.494039,-0.101465,1.097769
4103,34.191667,0.244142,-0.102228,-0.796967,-0.542944,0.191383,0.021056,0.902224,0.477911,0.699315,0.475148,0.238316,-0.489651,-0.098505,1.096942
4104,34.200000,0.248099,-0.096819,-0.802258,-0.534280,0.193253,0.020768,0.903050,0.483448,0.698033,0.470542,0.240039,-0.485345,-0.095554,1.096016
4105,34.208333,0.251158,-0.091715,-0.807929,-0.525127,0.195087,0.020343,0.903970,0.489157,0.697174,0.464721,0.242298,-0.481085,-0.092574,1.094994
4106,34.216667,0.253594,-0.087493,-0.813412,-0.516135,0.197045,0.019796,0.904970,0.495181,0.696225,0.459235,0.243250,-0.476890,-0.089562,1.093899
4107,34.225000,0.254989,-0.084201,-0.818418,-0.508019,0.199319,0.019114,0.905981,0.501508,0.695228,0.453456,0.243978,-0.472735,-0.086507,1.092746
4108,34.233333,0.256208,-0.082496,-0.822040,-0.501799,0.202129,0.018364,0.906942,0.507252,0.694732,0.447301,0.244877,-0.468613,-0.083419,1.091509
4109,34.241667,0.257018,-0.082563,-0.824633,-0.497097,0.205574,0.017574,0.907884,0.512689,0.693888,0.441894,0.245762,-0.464466,-0.080314,1.090197
4110,34.250000,0.256928,-0.083916,-0.826310,-0.494124,0.209618,0.016767,0.908816,0.517401,0.692999,0.437174,0.246833,-0.460228,-0.077111,1.088770
4111,34.258333,0.256835,-0.085476,-0.827534,-0.491850,0.214126,0.015952,0.909818,0.522114,0.691395,0.432660,0.249351,-0.455891,-0.073909,1.087249
4112,34.266667,0.257394,-0.085736,-0.828779,-0.489410,0.218993,0.015126,0.910935,0.526251,0.689695,0.429102,0.251498,-0.451428,-0.070699,1.085633
4113,34.275000,0.258466,-0.084348,-0.830470,-0.486210,0.224170,0.014198,0.912233,0.530279,0.688234,0.424585,0.254688,-0.446875,-0.067540,1.083947
4114,34.283333,0.260082,-0.081637,-0.832536,-0.482261,0.229594,0.013247,0.913770,0.534785,0.685873,0.420641,0.258156,-0.442205,-0.064330,1.082080
4115,34.291667,0.261537,-0.077342,-0.834845,-0.478174,0.235411,0.012351,0.915591,0.539772,0.683645,0.415539,0.261922,-0.437482,-0.061168,1.080109
4116,34.300000,0.263249,-0.072809,-0.836854,-0.474420,0.241749,0.011498,0.917687,0.545637,0.681803,0.409186,0.264560,-0.432699,-0.058093,1.078047
4117,34.308333,0.264877,-0.068682,-0.838262,-0.471636,0.248637,0.010655,0.919898,0.552335,0.680096,0.402018,0.266041,-0.427915,-0.055046,1.075987
4118,34.316667,0.267324,-0.064954,-0.839167,-0.469168,0.256134,0.009730,0.922216,0.559649,0.678351,0.394413,0.266591,-0.423175,-0.052039,1.073893
4119,34.325000,0.269327,-0.061821,-0.839540,-0.467776,0.264224,0.008743,0.924694,0.566864,0.677045,0.386104,0.266832,-0.418504,-0.049096,1.071692
4120,34.333333,0.270932,-0.059282,-0.839606,-0.467058,0.272817,0.007763,0.927433,0.573471,0.675957,0.378054,0.266998,-0.413886,-0.046256,1.069406
4121,34.341667,0.272075,-0.057680,-0.839691,-0.466441,0.281790,0.006664,0.930466,0.579697,0.674709,0.370108,0.267841,-0.409379,-0.043507,1.067062
4122,34.350000,0.272109,-0.055499,-0.839577,-0.466891,0.291191,0.005590,0.933873,0.584476,0.673741,0.363789,0.268549,-0.404906,-0.040823,1.064645
4123,34.358333,0.272130,-0.053973,-0.839439,-0.467305,0.301015,0.004458,0.937577,0.588614,0.672457,0.358709,0.269562,-0.400500,-0.038166,1.062271
4124,34.366667,0.272721,-0.052792,-0.839019,-0.467849,0.311257,0.003232,0.941555,0.591965,0.670694,0.355257,0.271183,-0.396136,-0.035559,1.059937
4125,34.375000,0.273291,-0.051453,-0.838471,-0.468647,0.321892,0.001926,0.945890,0.594012,0.669073,0.353354,0.273189,-0.391835,-0.032988,1.057659
