,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-RW,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-RW,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-RW,stick_right-TX,stick_right-TY,stick_right-TZ
0,0.514905,0.47844,0.019596,0.711044,-0.309946259,0.751387329,0.49533548,-0.010195,0.772898,0.630923,-0.066784,-0.413098358,0.701136963,0.979300659,-0.485218,0.006275,0.192512,0.852915,-0.205159988,0.724131287,1.470387329
1,0.591665,0.423565,0.138819,0.671755,0,0,0,-0.011622,0.774544,0.628964,-0.06596,-0.412917236,0.70127356,0.979119202,-0.47858,0.004912,0.1922,0.856736,-0.204208817,0.722109375,1.474996582
2,0.640854,0.326704,0.22994,0.655513,0,0,0,-0.012204,0.774941,0.628546,-0.065172,-0.412461884,0.701279175,0.979262512,-0.474369,0.002747,0.189243,0.85974,-0.203175751,0.720458862,1.478932495
3,0.684189,0.238915,0.326892,0.606586,0,0,0,-0.011857,0.775591,0.62793,-0.063425,-0.411785156,0.701385559,0.979362183,-0.47044,0.001507,0.191231,0.861461,-0.202593079,0.718882385,1.482612183
4,,,,,0,0,0,-0.012356,0.77602,0.627474,-0.062585,-0.411321777,0.701383789,0.979511719,-0.465965,-0.001075,0.189856,0.864194,-0.201814835,0.717071594,1.486516846
5,,,,,0,0,0,-0.010415,0.774428,0.629388,-0.063424,-0.410571686,0.701340332,0.980493896,-0.457958,-0.002605,0.188323,0.868793,-0.200564697,0.714843384,1.491294312
6,0.71545,-0.088676,0.549346,0.422478,0,0,0,-0.015003,0.775585,0.627872,-0.063404,-0.411027588,0.701304382,0.98041333,-0.454481,-0.003809,0.187107,0.870875,-0.199655014,0.713183533,1.494946899
7,0.695751,-0.182654,0.606043,0.33953,0,0,0,-0.016123,0.775767,0.627755,-0.062038,-0.41056601,0.70135022,0.98073877,-0.450389,-0.004888,0.186143,0.873199,-0.198647125,0.711414673,1.498715454
8,0.65298,-0.279414,0.65837,0.249186,0,0,0,-0.016296,0.775847,0.627697,-0.061585,-0.410199036,0.70143689,0.981245178,-0.445966,-0.006166,0.18518,0.875663,-0.197695419,0.709572388,1.502544067
9,0.603484,-0.372946,0.687562,0.154844,0,0,0,-0.017376,0.776117,0.627458,-0.060306,-0.409767334,0.701478149,0.98155957,-0.440482,-0.007832,0.183801,0.87871,-0.196604965,0.707527771,1.506466675
10,0.525559,-0.44888,0.719957,0.062901,0,0,0,-0.018166,0.776129,0.627499,-0.059487,-0.409371582,0.701548401,0.982100464,-0.436878,-0.008649,0.183306,0.880603,-0.195711731,0.705839661,1.509978027
11,,,,,0,0,0,-0.019113,0.776134,0.627567,-0.058402,-0.408983917,0.701642639,0.982656555,-0.434308,-0.009104,0.182067,0.882125,-0.194751373,0.70436261,1.513299072
12,,,,,0,0,0,-0.022649,0.777084,0.626268,-0.058444,-0.409451813,0.701826782,0.982944031,-0.429777,-0.009521,0.182193,0.884311,-0.193685806,0.702478088,1.516913452
13,,,,,0,0,0,-0.023662,0.777152,0.626218,-0.057667,-0.409216064,0.701942444,0.983538147,-0.426847,-0.010294,0.18101,0.885963,-0.192740906,0.70092511,1.520218262
14,,,,,0,0,0,-0.023444,0.777937,0.625435,-0.055634,-0.408645294,0.702210449,0.984040894,-0.422633,-0.010904,0.181225,0.88793,-0.19176326,0.699109497,1.523688477
15,,,,,0,0,0,-0.024799,0.776526,0.627108,-0.055922,-0.408508942,0.702203064,0.985161926,-0.418887,-0.011511,0.180579,0.889827,-0.190757828,0.697411865,1.526982422
16,,,,,0,0,0,-0.021332,0.776278,0.627755,-0.0535,-0.407147278,0.702399353,0.986002747,-0.415368,-0.012207,0.180191,0.891544,-0.189826736,0.695774475,1.53020813
